Durationinseconds,ResponseId,ProlificID,Age,Gender,HL,Ethnicity,Ethnicity_Other,Education,Income,DTI_1PFD,DTI_2DB,DTI_3PLT,DTI_4PFD,DTI_5DB,DTI_6PLT,DTI_7PFD,DTI_8DB,DTI_9PLT,DTI_10PFD,DTI_11DB,DTI_12PLT,DTI_13PFD,DTI_14DB,DTI_15PLT,DES_1CPN,DES_2NPS,DES_3NPS,DES_4NPS,DES_5CPN,DES_6CPN,DES_7PNS,DES_8CPN,DES_9CPN,DES_10PNS,DES_11PNS,DES_12CPN,DES_13PNS,DES_14NPS,DES_15NPS,DES_16CPN,DES_17PNS,DES_18PNS,DSS_1BC,DSS_2C,DSS_3BC,DSS_4CC,DSS_5BC,DSS_6C,DSS_7CC,DSS_8CC,DSS_9CC,DSS_10BC,DSS_11BC,DSS_12C,DSS_13CC,DSS_14CC,DSS_15C,DSS_16BC,DSS_17BC,DSS_18CC,DSS_19CC,DSS_20C,DSS_21CC,DSS_22C,DSS_23BC,DSS_24C,DSS_25C,DSS_26C,DSS_27C,DSS_28C,DSS_29CC,DSS_30CC,DSS_31C,DSS_32C,Situationdescrip,Situationrating_P,Situationrating_N,PROLIFIC_PID
476,R_2TwbMDhfcK3giYF,5dd7b300a71de875640dc574,48,Male,No,White/Caucasian, ,Bachelor's degree,"$65,000 - 74,999",5,2,5,5,3,5,6,2,5,5,3,5,5,2,5,6,6,6,6,6,7,6,6,7,6,7,7,7,6,5,6,6,4,5,4,2,1,5,5,4,2,2,6,4,2,5,2,2,3,3,5,3,3,1,3,2,2,3,2,4,2,3,2,3,5,My brother had to cancel plans for everyone to go to his house for a party after everyone in his family caught covid.,3,7,5dd7b300a71de875640dc574
1711,R_3Dp5ofZN41n1xFe,60fd97d86c2495cd7188ec41,19,Female,No,White/Caucasian, ,High school (or GED),"$65,000 - 74,999",3,2,4,3,2,2,3,3,4,4,3,3,4,2,4,6,6,6,6,6,6,5,6,6,5,4,6,5,6,6,6,6,5,2,2,5,5,2,4,4,2,3,4,4,3,2,2,2,2,2,2,5,3,2,2,2,2,3,4,4,2,2,2,2,5,There is still a mask mandate at my university.,1,7,60fd97d86c2495cd7188ec41
1072,R_29dbFzOjl2nxKhL,5f11e7b491d5a10d15a7dd71,32,Female,No,White/Caucasian, ,High school (or GED),"$55,000 - 64,999",3,1,5,5,1,5,5,2,4,4,2,3,5,1,5,6,6,6,6,6,6,6,6,6,6,4,6,6,3,6,6,5,3,6,3,1,7,4,5,5,5,5,2,3,5,2,2,5,4,3,4,2,5,5,6,2,5,5,5,2,3,3,6,6,7,"My father is working from home due to Covid, and it is both very difficult for him to do his job remotely and also very difficult for me and the rest of my family to grow accustomed to his newfound constant presence.",0,4,5f11e7b491d5a10d15a7dd71
554,R_2RVe2KHemJlgAcU,5f406d14ce2acb1ab60f648c,19,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",3,1,4,4,1,3,5,4,5,4,3,2,4,2,4,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,2,1,2,6,6,2,2,3,2,3,2,6,2,5,2,2,2,2,3,6,6,3,6,2,6,3,2,3,3,2,6,2,3,I had to delay moving to college for my freshman year.,2,8,5f406d14ce2acb1ab60f648c
352,R_RXM0qYW9MgsLM7T,5f4688eb586c80000810373a,27,Male,Yes,White/Caucasian, ,High school (or GED),"$25,000 - 34,999",5,3,5,5,2,3,2,2,5,5,4,4,4,2,4,6,6,6,6,6,5,6,6,6,5,4,4,5,4,4,6,5,6,6,3,5,6,4,3,6,5,4,3,5,5,5,4,3,4,4,4,3,5,6,6,5,6,4,6,6,2,2,2,2,3,I recently had Covid and felt like dying,2,7,5f4688eb586c80000810373a
375,R_3ek4jDEuokP4MWB,60fdd471f223537a577806d5,23,Female,No,White/Caucasian, ,Master's degree,"$0 - 14,999",6,1,5,5,1,5,5,1,4,4,5,4,5,2,6,6,6,6,6,5,5,6,5,5,7,6,5,7,5,3,4,6,4,2,2,3,5,3,2,1,2,2,4,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,5,1,1,2,3,5,"I am currently 20 weeks pregnant with my first child, and I am more cautious with COVID than before I became pregnant.",8,3,60fdd471f223537a577806d5
441,R_eOHpkrOc4vX6Yoh,5f7d026c6fd2421d2dc1af04,35,Male,No,White/Caucasian, ,High school (or GED),"$35,000 - 44,999",3,2,3,3,2,2,3,2,3,3,2,3,4,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,3,5,2,6,3,4,5,4,5,4,3,5,5,4,5,5,3,5,6,6,3,6,6,3,6,5,2,2,4,5,5,6,My sister had covid last week and I am being extra careful right now.,1,9,5f7d026c6fd2421d2dc1af04
491,R_3J9rQ318zVQP1fw,5f55bbd5fc189099844bd057,26,Female,No,American Indian or Alaskan Native, ,High school (or GED),"$25,000 - 34,999",3,2,4,4,2,3,3,2,4,3,2,2,5,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,4,6,5,4,5,5,5,4,3,3,5,4,3,4,2,4,4,3,3,4,5,3,5,4,5,5,3,4,3,3,5,5,6,Some of my family members got COVID and had to isolate.,0,7,5f55bbd5fc189099844bd057
441,R_2earTnU7Z9mE2UF,60fd01ec7bbf3d712124ad4b,20,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",4,2,5,4,1,2,3,1,4,4,1,2,5,1,5,7,7,7,6,6,6,6,6,6,7,7,6,7,7,6,6,7,5,6,6,2,5,5,5,2,3,2,6,3,6,6,2,2,5,2,6,6,5,1,6,1,4,7,5,5,2,5,3,5,7,"One of my college courses was online for six weeks during the height of COVID, it has since moved back to in-person since we have less cases.",7,2,60fd01ec7bbf3d712124ad4b
383,R_2DSaCU5yPgLMSK3,61146ed2d38c517c0bf8030c,26,Male,No,White/Caucasian, ,Bachelor's degree,"$85,000 +",5,2,6,5,2,2,2,2,4,2,2,4,4,2,2,6,6,6,6,6,6,6,7,6,6,6,6,6,6,2,7,6,6,7,2,2,3,6,2,5,2,2,3,4,7,6,6,5,5,1,4,3,6,3,6,3,4,5,7,2,4,3,3,3,5,"Where I live I have to continue to wear a mask when in public spaces, it's difficult because I think we're ready as a society to continue being smart but without mandating mask-wearing.",2,8,61146ed2d38c517c0bf8030c
327,R_1C4nORGF8cUjodI,616f8c15c535fbf8605e30b3,21,Male,No,White/Caucasian, ,High school (or GED),"$65,000 - 74,999",6,1,6,6,1,6,4,1,6,6,6,1,6,1,6,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,7,7,1,1,1,1,7,5,7,3,1,1,7,1,7,7,7,7,7,1,1,7,1,7,7,7,1,1,1,7,1,1,7,4,7,We had covid a couple months ago.,0,10,616f8c15c535fbf8605e30b3
942,R_20ZkaLBYKR6H6lO,6100b6365a3b961d941f7071,22,Female,No,White/Caucasian, ,Bachelor's degree,"$75,000 - 84,999",4,2,2,2,2,3,2,1,4,3,2,2,3,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,5,4,2,3,4,6,2,2,2,4,2,6,3,2,5,3,3,2,5,5,2,5,3,3,4,5,4,3,2,2,3,5,"Because of COVID I have become increasingly isolated from friends and extended family due to concerns about contracting the virus and bringing it home to my parents, with whom I live.",0,9,6100b6365a3b961d941f7071
657,R_3r2EVAUoNlulome,60fdb189da718b0f48df0e3b,22,Female,No,White/Caucasian, ,High school (or GED),"$75,000 - 84,999",4,2,4,3,1,3,3,2,3,4,1,4,4,2,5,6,6,5,5,5,5,5,5,5,6,6,7,6,5,5,5,5,5,6,3,3,5,5,4,5,3,3,4,5,2,5,3,5,4,3,2,3,5,3,4,5,3,5,5,4,5,2,2,3,5,"Because of COVID, I've had to work online and at a limited capacity at my summer camp job. We had to change and adapt our whole program because of COVID and weren't able to do specific events, like field trips.",4,7,60fdb189da718b0f48df0e3b
428,R_1FmSCBIuQUNXOzo,6108201fc71dec6754919de5,43,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",4,2,4,4,2,4,4,2,4,4,3,3,3,5,4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,6,4,5,3,4,6,5,4,5,4,3,3,3,4,2,2,3,3,3,3,3,5,3,5,2,2,2,2,5,2,2,2,2,3,I don't get to take my children to do the things we would like to do because my youngest isn't able to be vaccinated yet.,0,9,6108201fc71dec6754919de5
315,R_1pGdmpd2eg7w1b4,608832bd3e28d0394114ffa4,23,Female,No,White/Caucasian, ,Bachelor's degree,"$35,000 - 44,999",5,2,5,3,1,2,5,3,4,4,2,1,4,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,2,6,6,3,3,5,4,2,6,3,5,3,5,6,4,2,2,3,5,6,6,5,6,5,3,5,3,3,3,2,7,5,2,Going to the store wearing a mask because of risk of covid exposure makes my glasses fog up.,0,4,608832bd3e28d0394114ffa4
519,R_2ZWhgmZxvxsHzDZ,60fefab902f96c16ff088bf9,21,Female,Yes,White/Caucasian, ,High school (or GED),"$75,000 - 84,999",5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,2,6,6,6,6,6,6,6,6,6,2,6,6,2,6,4,5,5,5,4,3,3,4,5,3,5,5,5,5,5,3,5,5,3,3,5,5,3,3,3,5,3,3,5,5,5,"it has definitely changed the world and it makes me think about stuff differently. like i will no longer not carry hand sanitizer and i won't go bowling will eating aT the same time,",6,8,60fefab902f96c16ff088bf9
477,R_3IXLX4vS4CgMbc8,5a0f7d84ff266c0001d209cc,45,Female,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",5,1,6,5,1,4,5,1,6,5,2,4,5,1,4,7,7,7,7,4,7,7,5,7,7,7,4,7,7,4,7,7,3,2,4,3,2,2,4,6,2,4,2,2,4,1,1,4,1,2,5,2,7,2,6,1,4,6,2,4,2,3,2,4,5,"My grandma, who I live with, had covid two weeks ago so everyone in the house had to quarentine",2,8,5a0f7d84ff266c0001d209cc
338,R_3rSspklbFYWpWVT,6103262d40c3bb9a16ce4a6d,22,Female,No,White/Caucasian, ,Bachelor's degree,"$0 - 14,999",6,2,6,6,1,4,4,3,4,4,1,2,5,2,5,6,6,7,7,6,6,7,7,7,7,5,5,5,7,7,6,5,2,7,3,3,3,5,6,4,3,5,2,5,6,6,6,3,4,1,5,5,5,4,6,3,6,2,5,1,2,2,2,3,5,My sister is a nurse who treats COVID patients but she also does not believe in vaccines.,0,10,6103262d40c3bb9a16ce4a6d
292,R_2CwVNceXs1f2TJk,6101b725e1bb79ebc6733b16,22,Female,Yes,Other (please specify),mestizo,Bachelor's degree,"$45,000 - 54,999",4,3,4,4,3,4,3,3,4,3,3,4,5,4,4,5,6,6,6,6,6,5,7,7,5,5,5,5,4,4,4,4,4,4,5,3,4,5,5,3,3,3,4,4,5,5,4,5,5,4,4,5,4,4,3,5,4,4,6,4,4,3,4,4,4,It is difficult for me to get a job in the career I want.,0,7,6101b725e1bb79ebc6733b16
270,R_TnqXYHG3tkxhkul,60d3aa9722bb0097de874bc6,20,Male,No,White/Caucasian, ,High school (or GED),"$85,000 +",4,3,5,4,3,4,4,2,4,4,4,4,5,2,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,4,6,6,3,5,6,4,5,4,5,3,3,5,2,2,4,5,3,4,3,2,4,4,5,4,4,5,3,5,3,6,2,3,4,4,6,Having to constantly be aware of those around you and keeping distance to prevent potential exposure.,3,5,60d3aa9722bb0097de874bc6
455,R_3HB3Yokrr0Fxffd,5f02cea120393a16d40a9594,28,Male,No,Asian, ,Bachelor's degree,"$85,000 +",5,3,5,5,2,4,5,3,5,4,3,5,5,2,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,3,6,6,3,6,5,2,3,5,6,5,4,3,6,5,5,5,3,4,3,3,3,5,5,2,5,5,4,5,4,5,2,5,5,4,5,My girlfriend is a nurse and occasionally works with covid patients. We actively try to stay home and away from our friends and families as much as we can to avoid possibly spreading it,1,8,5f02cea120393a16d40a9594
365,R_2aOUkSh3ZuQhmPM,5d4f30def20feb00190b6280,35,Female,No,White/Caucasian, ,Bachelor's degree,"$85,000 +",4,1,6,6,1,4,4,1,6,5,1,6,6,1,4,7,7,7,7,1,7,7,7,7,7,7,7,7,7,6,7,7,5,5,6,1,3,5,5,3,5,5,4,5,5,3,3,6,4,4,4,3,5,3,6,2,4,5,5,7,3,1,5,5,7,My mom had covid a few weeks ago and now can't help as much with my kids because she's still feeling ongoing symptoms,3,8,5d4f30def20feb00190b6280
559,R_2woWYgpYRXBxxnP,60f85fe405d284a3650e741d,24,Male,No,White/Caucasian, ,Bachelor's degree,"$85,000 +",6,6,6,6,6,6,6,6,6,6,4,2,6,2,6,6,6,6,6,4,6,7,4,4,7,6,7,7,7,3,5,6,4,7,1,2,4,5,6,2,3,4,4,2,5,6,6,4,4,1,3,7,1,4,2,6,2,1,4,6,4,2,7,4,6,"I recently had COVID and had to work from home while recovering, making it hard to interact with my workmates",0,10,60f85fe405d284a3650e741d
262,R_ekAlUS9Dg4Lyqhb,5cf3fb5b30eedd00156bbff7,30,Female,No,White/Caucasian, ,"Advanced degree (e.g. PhD, MD, JD)","$65,000 - 74,999",2,2,5,2,2,2,3,2,4,4,1,4,4,2,3,6,6,6,6,5,6,6,6,6,6,6,6,6,6,3,6,6,4,3,5,3,5,4,5,3,3,3,3,3,6,4,4,3,2,2,5,5,6,3,5,5,4,6,5,3,5,5,3,5,6,"I am working in healthcare, so we are affected by COVID policies and regulations on a daily basis.",1,9,5cf3fb5b30eedd00156bbff7
315,R_CjpUCCH1xZ2rinL,612d384d2854531514c9be92,28,Female,No,White/Caucasian, ,"Advanced degree (e.g. PhD, MD, JD)","$45,000 - 54,999",4,1,4,4,1,1,1,1,1,1,1,1,6,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,3,5,2,2,4,5,5,3,3,3,3,6,3,2,4,2,2,3,5,6,2,7,2,6,6,4,1,6,5,5,5,3,"My boyfriend felt sick last week and worried quite a bit about whether or not he had COVID, but he took a test and it was negative.",6,4,612d384d2854531514c9be92
624,R_XFXg0NgWleiI8tb,5ff3b5986d65c5a24eebd036,29,Male,No,American Indian or Alaskan Native, ,Bachelor's degree,"$15,000 - 24,999",4,1,6,6,2,5,4,4,5,6,2,6,6,4,5,7,7,7,7,4,7,7,7,7,7,7,7,7,7,6,7,7,2,2,3,3,2,6,7,1,3,2,4,3,3,6,5,2,7,1,6,7,6,5,1,1,2,6,6,4,2,4,5,7,6,"My aunt had COVID and she was on oxygen for two weeks or more, as it caused her to have pneumonia.",0,8,5ff3b5986d65c5a24eebd036
418,R_WcEREFqOUmGXDEt,5c6c83247a3f1a0001d415b3,24,Female,Yes,White/Caucasian, ,Bachelor's degree,"$25,000 - 34,999",6,1,5,5,1,4,4,1,5,5,4,4,6,3,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,6,6,3,3,5,5,2,2,2,2,5,2,2,5,2,2,6,2,6,5,6,5,5,3,2,5,3,4,3,3,5,4,7,"My partner and I had COVID two weeks ago and had to quarantine together. I had minor COIVD symptoms while his were a bit harsher. Neither of us had to go the hospital though, thank goodness.",4,7,5c6c83247a3f1a0001d415b3
682,R_1ffl03maerx6BPE,5f39c08c4b0c7456a60d4932,54,Female,No,White/Caucasian, ,Bachelor's degree,"$65,000 - 74,999",4,2,5,3,2,3,4,2,4,4,2,4,3,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,3,6,3,3,6,5,4,3,3,3,3,3,5,5,2,2,2,2,4,5,5,5,5,4,5,5,2,5,4,3,2,3,5,I am working in person in a hospital and am exposed on a daily basis to patients who may not even know they are covid positive and who frequently wear their masks incorrectly; this is worrisome to me.,3,8,5f39c08c4b0c7456a60d4932
